Symbol,NSAF_SpC_ratio,hESC_Ln_NSAF,hNSC_Ln_NSAF,t_test_p,color
PLIN4,1.560610018,-13.97509754,-14.42017433,,gray
PLK1,6.632180463,-9.280620449,-11.17255408,0.011340878,red
PLK1S1,1.23865588,-13.45736932,-13.67139615,,gray
PLOD1,0.698123948,-9.274077942,-8.914719326,0.006549958,green
PLOD2,4.833355367,-10.76393504,-12.33947596,0.02963408,red
PLOD3,0.924482393,-9.975968774,-9.8974475,0.644581258,gray
PLP1,0.053515217,-12.80069189,-9.872902661,0.004638098,blue
PLP2,0.619328182,-12.20055373,-11.72143376,,gray
PLRG1,0.670256476,-9.803281601,-9.403186761,0.194380752,gray
PLS1,2.037336963,-9.301383505,-10.01302705,0.049216444,red
PLS3,1.931679616,-7.728918165,-8.387308057,0.003098477,green
PLSCR1,3.603807297,-11.63970938,-12.92170025,,gray
PLSCR3,0.808195944,-11.11183083,-10.89888008,0.769663608,gray
PLTP,0.625707107,-13.16507957,-12.69620668,,gray
PLVAP,1.238656992,-13.03693443,-13.25096215,,gray
PLXDC2,0.983122706,-13.21661102,-13.19958968,,gray
PLXNA1,0.195642434,-11.99111222,-10.35964561,0.010548263,blue
PLXNA2,0.573115886,-14.47696036,-13.92029302,,gray
PLXNA3,0.859466227,-13.74059364,-13.58914989,,gray
PLXNA4,0.67989621,-13.92381847,-13.53800334,,gray
PLXNB1,0.896522303,-11.81782473,-11.70859262,0.590299667,gray
PLXNB2,0.415230935,-10.85675738,-9.977836939,0.03957324,blue
PLXNC1,1.560609202,-14.07212928,-14.51720554,,gray
PLXND1,2.442093045,-11.84116053,-12.734016,0.338694074,gray
PM20D2,0.211807366,-13.02326439,-11.47118632,,gray
PMAIP1,1.560609456,-10.70355829,-11.14863471,,gray
PMF1,3.121216602,-11.41505423,-12.55327709,,gray
PML,0.573204731,-11.59486748,-11.03835515,0.319553298,gray
PMM1,1.573988719,-10.99963527,-11.45324825,0.130527787,gray
PMM2,1.768384095,-8.826641047,-9.396707237,0.205717718,gray
PMPCA,0.828163522,-8.689348232,-8.500803579,0.540091082,gray
PMPCB,0.888288528,-8.672377786,-8.553919116,0.652914559,gray
PMS1,0.662713278,-10.29056473,-9.879151891,0.002349362,green
PMS2,0.255622229,-12.60626594,-11.24221135,0.176839636,gray
PMS2L3,1.786451776,-11.80516678,-12.38539818,,gray
PMVK,0.581865529,-9.125098232,-8.583582325,0.141674772,gray
PNCK,0.541033531,-13.23111051,-12.61683649,,gray
PNKD,3.38502752,-10.40428123,-11.62364326,0.362187665,gray
PNKP,0.375196228,-10.88975833,-9.909452218,0.269197272,gray
PNLIPRP1,1.23865892,-13.09195429,-13.30598357,,gray
PNLIPRP2,1.238656992,-13.09835552,-13.31238324,,gray
PNMA1,0.619328496,-13.04314056,-12.5640211,,gray
PNMA2,0.619328872,-13.07382331,-12.59470446,,gray
PNMAL1,0.18009296,-12.79907455,-11.08479243,0.034565002,blue
PNN,0.457122386,-10.7096021,-9.926797981,0.020801369,blue
PNO1,1.184733503,-10.07391734,-10.2434352,0.513262077,gray
PNP,1.125907149,-7.277283236,-7.395872301,0.215830308,gray
PNPLA2,0.61542598,-10.82042363,-10.33498303,0.294412219,gray
PNPLA4,1.966247899,-12.01691545,-12.69304256,,gray
PNPLA6,0.467683953,-10.46920614,-9.709243618,0.026288202,blue
PNPLA7,1.942977182,-13.69734629,-14.36156771,,gray
PNPLA8,1.79281631,-13.23771804,-13.82150578,,gray
PNPO,0.924410165,-12.27909375,-12.20049435,,gray
